"CO","County","FPMI","MajorPollutant","NO","NO2","NOx","O3","PM10","PM2.5","PSI","PublishTime","SiteName","SO2","Status","WindDirec","WindSpeed"
"0.33","基隆市","2","","1.26","16","17.06","38","43","22","44","2016-02-22 18:00","基隆","5.6","良好","318","0.8"
"0.57","新北市","3","懸浮微粒","2.92","33","35.66","24","69","28","58","2016-02-22 18:00","汐止","3.2","普通","251","2"
"0.29","新北市","2","懸浮微粒","1.77","7.5","9.29","44","51","21","54","2016-02-22 18:00","萬里","2.3","普通","312","3.2"
"0.63","新北市","3","懸浮微粒","1.86","32","33.73","19","78","35","58","2016-02-22 18:00","新店","3.9","普通","289","3.2"
"0.58","新北市","3","懸浮微粒","1.91","24","26.25","29","70","26","58","2016-02-22 18:00","土城","2.9","普通","313","1.7"
"0.57","新北市","3","懸浮微粒","1.46","20","21.59","32","69","31","57","2016-02-22 18:00","板橋","3.7","普通","303","1.8"
"0.5","新北市","3","懸浮微粒","1.57","16","17.07","35","50","22","53","2016-02-22 18:00","新莊","1.4","普通","162","0.7"
"0.54","新北市","2","懸浮微粒",".95","19","19.54","31","60","22","56","2016-02-22 18:00","菜寮","2.5","普通","300","1.8"
"0.29","新北市","2","","1.03","6.1","7.16","44","25","13","37","2016-02-22 18:00","林口","0.8","良好","344","1.7"
"0.46","新北市","2","懸浮微粒","1.82","17","18.52","31","54","23","51","2016-02-22 18:00","淡水","1.8","普通","",""
"0.4","臺北市","2","","1.03","13","13.58","37","50","26","50","2016-02-22 18:00","士林","1.2","良好","288","2.2"
"1.08","臺北市","3","懸浮微粒","20.27","35","54.97","19","80","27","57","2016-02-22 18:00","中山","2.4","普通","321","2"
"0.78","臺北市","3","懸浮微粒","3.9","29","33.04","24","74","38","54","2016-02-22 18:00","萬華","2.7","普通","285","1.1"
"0.67","臺北市","2","懸浮微粒","4.12","32","35.86","22","84","24","58","2016-02-22 18:00","古亭","2.8","普通","249","1.3"
"0.67","臺北市","3","懸浮微粒","3.97","25","29.08","30","76","31","56","2016-02-22 18:00","松山","1.5","普通","278","1.6"
"1.29","臺北市","3","懸浮微粒","12.51","26","39","","80","26","63","2016-02-22 18:00","大同","2.2","普通","",""
"0.58","桃園市","3","懸浮微粒","3.56","22","26","29","60","27","55","2016-02-22 18:00","桃園","2.8","普通","34","0.7"
"0.36","桃園市","3","懸浮微粒","3.95","21","25.34","28","45","23","54","2016-02-22 18:00","大園","1.5","普通","350","3.1"
"0.33","桃園市","3","懸浮微粒","","","","43","40","18","52","2016-02-22 18:00","觀音","1.7","普通","53","2.6"
"0.4","桃園市","3","懸浮微粒","1.65","19","20.97","28","63","23","54","2016-02-22 18:00","平鎮","2.6","普通","355","1.8"
"0.51","桃園市","3","","1.92","18","20.37","31","71","34","0","2016-02-22 18:00","龍潭","1.1","","36","1.9"
"0.3","新竹縣","3","懸浮微粒",".88","8.7","9.55","44","59","28","56","2016-02-22 18:00","湖口","3.1","普通","43","3.2"
"0.4","新竹縣","4","懸浮微粒","2.51","18","20.7","31","79","39","62","2016-02-22 18:00","竹東","0.9","普通","326","1.5"
"0.44","新竹市","2","懸浮微粒","5.38","17","22.56","37","54","22","55","2016-02-22 18:00","新竹","2.6","普通","74","2.4"
"0.49","苗栗縣","3","懸浮微粒","1.41","17","17.97","37","68","24","60","2016-02-22 18:00","頭份","0.6","普通","68","2.3"
"0.61","苗栗縣","4","懸浮微粒","2.51","21","23.38","35","82","42","68","2016-02-22 18:00","苗栗","1.4","普通","60","2.3"
"0.32","苗栗縣","3","懸浮微粒",".62","9.9","10.5","41","36","20","58","2016-02-22 18:00","三義","1.3","普通","35","4.3"
"0.52","臺中市","7","懸浮微粒","5.91","23","28.56","30","79","56","66","2016-02-22 18:00","豐原","3.2","普通","15","0.8"
"0.41","臺中市","3","懸浮微粒","1.47","15","16.2","45","77","35","64","2016-02-22 18:00","沙鹿","-0.5","普通","21","4.3"
"0.61","臺中市","6","懸浮微粒","3.01","24","26.81","35","95","45","88","2016-02-22 18:00","大里","1","普通","9.8","1.9"
"0.48","臺中市","4","懸浮微粒","2.13","22","23.85","35","99","35","76","2016-02-22 18:00","忠明","0.6","普通","324","2.3"
"0.44","臺中市","5","懸浮微粒","1.55","19","20.75","41","94","42","73","2016-02-22 18:00","西屯","2","普通","44","4.1"
"0.56","彰化縣","4","懸浮微粒","1.53","17","18.72","41","68","32","64","2016-02-22 18:00","彰化","1.5","普通","24","3.6"
"0.54","彰化縣","4","懸浮微粒",".91","13","13.75","50","77","36","66","2016-02-22 18:00","線西","3.8","普通","41","5"
