"CO","County","FPMI","MajorPollutant","NO","NO2","NOx","O3","PM10","PM2.5","PSI","PublishTime","SiteName","SO2","Status","WindDirec","WindSpeed"
"0.35","基隆市","2","","1.62","20","21.82","35","50","26","43","2016-02-22 17:00","基隆","7.5","良好","62","0.9"
"0.49","新北市","3","懸浮微粒","3.98","33","37.31","26","72","29","56","2016-02-22 17:00","汐止","3.8","普通","257","2.3"
"0.29","新北市","2","懸浮微粒","1.89","7.8","9.64","48","62","17","54","2016-02-22 17:00","萬里","2.4","普通","319","3.8"
"0.55","新北市","3","懸浮微粒","1.77","28","29.34","26","72","32","58","2016-02-22 17:00","新店","3.6","普通","311","3.7"
"0.49","新北市","3","懸浮微粒","2.12","22","24.22","36","68","25","58","2016-02-22 17:00","土城","2.9","普通","308","2.2"
"0.45","新北市","3","懸浮微粒","1.06","19","20.12","37","67","31","57","2016-02-22 17:00","板橋","3.4","普通","314","2.5"
"1.04","新北市","3","懸浮微粒","2.8","21","24.23","37","53","26","54","2016-02-22 17:00","新莊","1.4","普通","31","1.7"
"0.48","新北市","2","懸浮微粒",".89","20","21.17","35","70","25","56","2016-02-22 17:00","菜寮","2.9","普通","299","1.9"
"0.25","新北市","2","",".65","4.5","5.16","49","26","13","41","2016-02-22 17:00","林口","1","良好","312","2.3"
"0.41","新北市","2","","1.56","14","15.76","37","62","27","50","2016-02-22 17:00","淡水","1.4","良好","",""
"0.34","臺北市","2","",".97","12","12.58","43","53","25","49","2016-02-22 17:00","士林","1.1","良好","290","2.9"
"0.9","臺北市","2","懸浮微粒","16.41","35","51.8","25","74","24","56","2016-02-22 17:00","中山","2.4","普通","319","2.3"
"0.66","臺北市","3","懸浮微粒","4.16","32","36.03","24","70","31","53","2016-02-22 17:00","萬華","3.5","普通","284","2"
"0.59","臺北市","2","懸浮微粒","3.33","32","35.13","27","80","22","56","2016-02-22 17:00","古亭","3.3","普通","267","1.5"
"0.61","臺北市","3","懸浮微粒","5.53","28","33.49","33","73","46","54","2016-02-22 17:00","松山","1.7","普通","294","2.2"
"0.96","臺北市","3","懸浮微粒","10.46","25","35.88","","83","29","63","2016-02-22 17:00","大同","2.1","普通","",""
"0.48","桃園市","2","懸浮微粒","3.74","24","27.39","33","71","25","54","2016-02-22 17:00","桃園","3.5","普通","285","0.8"
"0.35","桃園市","3","懸浮微粒","2.82","20","22.65","30","59","26","55","2016-02-22 17:00","大園","1.5","普通","321","3.5"
"0.33","桃園市","3","懸浮微粒","","","","44","44","24","54","2016-02-22 17:00","觀音","1.9","普通","60","2.2"
"0.37","桃園市","3","懸浮微粒","1.62","18","19.23","31","63","26","53","2016-02-22 17:00","平鎮","2.7","普通","15","1.8"
"0.44","桃園市","3","","2.36","18","20.17","36","77","25","0","2016-02-22 17:00","龍潭","1.6","","31","2"
"0.26","新竹縣","3","懸浮微粒","1.57","5","6.61","52","57","30","56","2016-02-22 17:00","湖口","1.8","普通","42","3.2"
