"日期","測站","測項","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
2008-01-01,"大園","AMB_TEMP","11.06","11.05","11.03","11.02","10.96","10.89","10.68","10.61","10.76","11.56","12.1","12.3","11.78","11.44","11.49","11.24","10.88","10.25","9.81","9.89","9.97","10.14","10","10"
2008-01-01,"大園","CO","0.28","0.26","0.25","0.25","0.25","0.25","0.28","0.3","0.31","0.32","0.33","0.35","0.37","0.4","0.4","0.39","0.39","0.37","0.33","0.32","0.33","0.33","0.34","0.34"
2008-01-01,"大園","NO","0.82","0.57","0.48","1.29","1.25","1.48","2.72","2.57","3.7","4.92","5.72","3.99","3.94","4.81","5.72","3.97","3.14","1.86","1.78","1.64","1.49","1.26","1.15","1.13"
2008-01-01,"大園","NO2","14.32","7.59","7.24","8.92","7.84","8.94","13.34","12.7","14.9","12.76","11.34","8.31","10.02","13.19","14.53","12.44","16.91","14.58","14.22","13.19","13.95","12.07","12.13","11.6"
2008-01-01,"大園","NOx","15.13","8.16","7.71","10.21","9.09","10.42","16.05","15.27","18.59","17.68","17.06","12.3","13.96","18","20.26","16.41","20.05","16.44","16","14.84","15.44","13.33","13.28","12.73"
2008-01-01,"大園","O3","29.1","34.6","34.7","32.6","33.5",".2#","29.7","28.2","27.8","30.8","33.2","37","37.3","35.4","35.1","37.6","33.8","34","32.8","32.6","32.1","32.6","31.3","30.3"
2008-01-01,"大園","PM10","309*","5282#","9999#","9999#","9999#","9999#","9999#","9999#","9999#","9999#","9999#","9999#","4999#","4999#","9999#","9999#","67","72","70","64","54","59","63","57"
2008-01-01,"大園","PM2.5","19","22","21","23","23","27","26","29","30","24","31","31","21","32","45","48","48","37","26","30","33","24","30","29"
2008-01-01,"大園","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-01,"大園","RH","55.31","53.19","52.91","53.87","54.39","54.28","53.31","52.34","52.26","50.29","50.75","53.5","55.32","56.17","55.1","53.64","53.45","55.12","55.18","55.64","55.4","54.47","54.59","54.55"
2008-01-01,"大園","SHELT_TEMP","26.44","26.49","26.45","26.43","26.47","26.46","26.43","26.47","26.47","26.55","26.65","26.68","26.63","26.61","26.64","26.61","26.55","26.49","26.48","26.45","26.46","26.46","26.47","26.45"
2008-01-01,"大園","SO2","6.2","5.3","5.4","5.7","5.4","6.9","7.1","6.9","7.2","7.6","7.9","7.9","9.2","9.6","10","10","9.5","8.3","6.5","6.5","7","7.5","8.1","9.1"
2008-01-01,"大園","WD_HR","65.97","67.72","64.13","64.41","61.18","50.61","53.85","69.87","72.65","61.73","54.86","48.27","48.1","47.29","46.21","49.48","58.99","71.2","81.53","85.08","84.38","80.54","77.15","74.94"
2008-01-01,"大園","WIND_DIREC","60.89","65.55","64.72","66.69","50.52","49.97","54.52","75.44","57.44","61.06","52.4","44.5","46.97","44.73","45.15","54.29","68.28","70.82","81.61","86.92","78.58","76.31","78.06","70.93"
2008-01-01,"大園","WIND_SPEED","6.96","6.25","6.31","6.49","7.5","8.31","6.82","5.97","7.45","8.17","9.76","9.82","9.73","9.76","9.8","9.76","7.3","7.28","6.49","6.46","6.65","6.76","6.88","5.74"
2008-01-01,"大園","WS_HR","6.3","6.43","6.86","6.01","6.1","8.37","7.9","6.58","6.73","8.06","9.11","9.34","9.79","9.14","9.01","9.05","7.7","7.42","6.69","6.67","6.55","6.53","6.41","5.81"
2008-01-02,"大園","AMB_TEMP","10.18","9.95","9.71","9.87","9.68","9.53","9.44","9.81","10.72","11.68","12.28","12.71","12.99","12.82","12.55","12.26","11.77","11.27","10.98","11.14","11.47","11.64","11.79","12.08"
2008-01-02,"大園","CO","0.37","0.38","0.39","0.43","0.45","0.44","0.41","0.41","0.42","0.42","0.41","0.38","0.34","0.35","0.38","0.38","0.37","0.38","0.36","0.35","0.35","0.31","0.28","0.24"
2008-01-02,"大園","NO","1.17","0.92","1.17","0.66","0.7","0.75","1.5","4.66","9.26","13.46","10.07","10.37","6.6","6.84","9.05","9.65","8.97","5.89","4.58","3.34","4.11","3.51","2.48","1.41"
2008-01-02,"大園","NO2","15.44","10.34","12.3","10.34","9.72","11.4","13.18","17.49","19","19.18","14.76","14.48","12.24","13.9","17.57","20.74","24.72","20.72","17.32","16.72","27.33","22.81","22.27","14.07"
2008-01-02,"大園","NOx","16.61","11.26","13.47","11","10.43","12.15","14.68","22.15","28.26","32.63","24.84","24.85","18.84","20.74","26.62","30.39","33.68","26.61","21.9","20.06","31.43","26.32","24.75","15.47"
2008-01-02,"大園","O3","26.7","28.2","26","27.8","28.3",".2#","26.3","23.5","22.3","22.3","25.2","27.6","34.3","36.1","32.7","26","19.3","23.1","25.6","27.1","19.7","20.1","22.9","29.3"
2008-01-02,"大園","PM10","67","74","71","77","79","75","72","60","67","88","86","78","80","74","78","44","82","74","65","71","69","53","51","49"
2008-01-02,"大園","PM2.5","28","38","32","34","47","39","28","32","43","45","46","44","42","40","45","49","43","44","32","31","34","28","30","25"
2008-01-02,"大園","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-02,"大園","RH","52.36","53.76","55.57","55.46","54.54","55.72","57.36","55.17","53.16","54.14","55.05","54.91","51.25","52.19","54.77","58.31","60.12","60.68","61.13","62.66","63.35","61.77","63.17","59.81"
2008-01-02,"大園","SHELT_TEMP","26.45","26.47","26.45","26.45","26.45","26.46","26.42","26.45","26.5","26.58","26.6","26.64","26.65","26.65","26.65","26.62","26.56","26.53","26.48","26.46","26.5","26.47","26.49","26.48"
