"日期","測站","測項","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
2008-01-01,"觀音","AMB_TEMP","11.78","11.8","11.74","11.7","11.65","11.45","11.16","11.21","11.5","12.26","12.65","13.03","12.8","12.39","12.26","11.94","11.4","10.94","10.35","10.2","10.34","10.42","10.46","10.4"
2008-01-01,"觀音","CO","0.26","0.26","0.26","0.25","0.25","0.25","0.27","0.29","0.3","0.31","0.32","0.35","0.37","0.39","0.39","0.38","0.38","0.36","0.34","0.33","0.33","0.34","0.34","0.35"
2008-01-01,"觀音","NO","0.57","0.49","0.49","0.48","0.44","0.32","0.45","0.84","2.14","2.68","2.43","2.5","1.8","1.66","1.7","1.87","1.41","0.99","0.8","0.47","0.42","0.35","0.44","0.3"
2008-01-01,"觀音","NO2","12.74","9.71","12.2","12.6","11.88","12.54","12.01","9.63","13.94","9.88","9.21","8.38","7.6","8.66","10.27","11.78","13.88","15.37","14.72","11.36","11.96","12.44","11.41","11.95"
2008-01-01,"觀音","NOx","13.31","10.2","12.7","13.08","12.32","12.86","12.46","10.48","16.08","12.55","11.64","10.88","9.4","10.31","11.97","13.65","15.29","16.36","15.52","11.83","12.38","12.79","11.85","12.24"
2008-01-01,"觀音","O3","28.6","31","28","27","27.7","27.9","26.4","28.3","25.4","29.1","32.4","34.2","36.5","36.2","36.1","34.9","32.4","31.1","30.3","31.7","31","29.5","29.5","28.5"
2008-01-01,"觀音","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-01,"觀音","PM10","56","66","62","61","61","67","74","65","58","67","66","70","80","81","91","95","85","85","81","65","59","61","66","61"
2008-01-01,"觀音","PM2.5","24","24","25","14","11","22","30","29","31","26","14","15","31","38","46","46","30","35","37","32","28","26","32","26"
2008-01-01,"觀音","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-01,"觀音","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-01,"觀音","RAIN_INT","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-01,"觀音","RAIN_TEMP","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-01,"觀音","RH","50.02","49.58","48.72","47.53","49.66","49.29","48.86","48.16","48.73","46.21","46.27","48.07","48.93","50.35","49.63","49.64","50.99","51.02","51.72","52.5","52.66","51.93","50.39","51.2"
2008-01-01,"觀音","SHELT_TEMP","27.16","27.17","27.18","27.17","27.15","27.15","27.15","27.17","27.19","27.19","27.18","27.21","27.2","27.2","27.21","27.21","27.2","27.19","27.18","27.16","27.17","27.16","27.16","27.15"
2008-01-01,"觀音","SO2","10.1","7.6","10.2","9.7","10.9","10.4","10.6","9.4","12.6","11.1","11.4","10.8","10.4","10.8","13.1","13.3","13.3","13.4","9","6.8","7.4","9","8.1","9.7"
2008-01-01,"觀音","WD_HR","73.93","80.64","72.49","71.62","65.1","67.89","73.18","82.5","84.46","73.31","65.15","63.64","56.7","55.93","61.02","63.62","73.41","83.3","86.92","85.81","85.76","86.35","88.13","84.93"
