"日期","測站","測項","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
2008-01-01,"龍潭","AMB_TEMP","9.4","9.43","9.46","9.35","9.23","9.11","9.05","9.09","9.62","10.45","11.33","11.94","12","11.62","11.09","10.8","10.1","9.23","8.57","8.38","8.31","8.34","8.4","8.44"
2008-01-01,"龍潭","CO","0.31","0.29","0.3","0.28","0.26","0.26","0.28","0.32","0.34","0.37","0.38","0.42","0.42","0.45","0.47","0.48","0.48","0.48","0.43","0.37","0.36","0.33","0.33","0.32"
2008-01-01,"龍潭","NO","1.78","1.53","1.93","2.16","2.62","2.1","2.98","3.88","4.21","5.23","5.87","6.48","5.58","5.62","5.59","4.8","4.12","3.21","3.36","3.29","2.99","2.83","2.12","2.13"
2008-01-01,"龍潭","NO2","10.76","9.92","9.5","8.76","8.31","7.73","10.2","11.19","9.99","9.83","9.61","10.18","9.89","11.52","11.76","13.45","15.88","17.36","16.21","16.48","14.12","11.85","9.9","8.43"
2008-01-01,"龍潭","NOx","12.54","11.45","11.42","10.92","10.93","9.82","13.19","15.07","14.2","15.06","15.48","16.66","15.48","17.14","17.35","18.25","19.99","20.57","19.57","19.77","17.11","14.68","12.02","10.55"
2008-01-01,"龍潭","O3","187.1x","190.7x","195.9x","203x","201.4x","2.8#","199.3x","193.8x","190.5x","190.9x","192.8x","193.1x","190.4x","188x","191.9x","180.9x","174.1x","185.7x","185x","186.7x","181.2x","182.9x","182.9x","183.6x"
2008-01-01,"龍潭","PM10","80","69","64","52","60","59","58","60","57","64","70","76","73","75","83","92","102","90","86","66","65","57","57","60"
2008-01-01,"龍潭","PM2.5","27","23","27","34","29","21","17","21","26","25","28","27","27","28","31","41","42","45","40","36","32","25","30","26"
2008-01-01,"龍潭","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-01,"龍潭","RH","65.12","62.51","62.17","61.1","61.04","62.35","62.24","61.91","59.06","56.14","51.68","50.34","50.43","52.28","56.14","59.23","61.32","63.27","64.14","62.74","62.71","62.39","61.67","61.04"
