Location,Price
A,271945
A,192771
A,280960
A,49486
A,152825
A,68415
A,187112
A,2143
A,158453
A,146814
A,168549
A,287556
A,177658
A,46520
A,189710
A,223719
A,152685
A,132127
A,166599
A,92051
A,89236
A,161219
A,70219
A,162388
A,176791
A,175244
A,107188
A,209595
A,62955
A,111736
A,40399
A,100499
A,177895
A,119836
A,165182
A,162473
A,154009
A,151238
A,177187
A,93257
A,675396
A,257257
A,116988
A,111429
A,65225
A,43193
A,102470
A,131775
A,126983
A,128733
A,152200
A,165806
A,192398
A,156634
A,209735
A,157608
A,153768
A,107218
A,127598
A,132248
A,205064
A,107615
A,114367
A,91277
A,94340
A,179534
A,117050
A,96503
A,81653
A,126158
A,139776
A,292599
A,166047
A,211221
A,146798
A,63629
A,63838
B,127896
B,454215
B,144422
B,28546
B,136204
B,62321
B,126096
B,179849
B,454653
B,52997
B,59036
B,117113
B,202664
B,153789
B,342069
B,225936
B,192810
B,138289
B,216138
B,302751
B,154724
C,297741
C,314834
C,215878
C,249256
C,253587
C,318725
C,249527
C,236047
C,385480
C,258859
C,99372
C,113563
C,113563
C,340919
C,568907
C,288392
C,182556
C,283811
C,315216
C,200689
C,70902
D,267819
D,210294
D,108046
D,214586
D,192701
D,194141
D,181428
D,198986
D,218125
D,184818
D,119432
D,167943
D,211075
D,193573
D,179506
D,156400
D,166370
D,113186
D,630252
D,81601
D,237304
D,214997
D,250284
D,137906
D,200747
D,194951
D,299228
D,308462
D,252750
D,199616
D,199616
D,199616
D,150215
D,52917
D,147817
D,328515
D,242602
D,232744
D,239357
D,144222
D,246169
D,212949
D,183031
D,211191
D,145161
D,136476
D,276023
D,162690
D,110459
D,166566
D,171612
D,79268
D,174282
D,209211
D,302624
D,96537
D,157937
D,210005
D,110418
D,203892
D,110063
D,185009
D,141073
D,226256
D,221653
D,231689
D,226891
D,178663
D,234503
D,187359
D,104138
D,166381
D,149575
D,154591
D,168284
D,172414
D,155575
D,299168
D,80253
D,177825
D,197542
D,166404
D,135299
D,200559
D,130368
D,323041
D,611849
D,166121
D,202746
D,262947
D,172057
D,192666
D,217391
D,165962
D,128489
D,222313
D,162390
D,187845
D,181378
D,201482
D,130014
D,227527
D,192676
D,150922
D,271072
D,179188
D,196139
D,749873
E,306091
E,113574
E,243617
E,128337
E,85158
E,60846
E,178720
E,297619
E,317751
E,370077
E,290090
E,189909
E,287891
E,287891
E,211351
E,159969
E,231289
E,371254
E,271003
E,136830
E,212002
E,320760
E,77358
E,250301
E,223745
F,93673
F,201429
F,167665
F,212011
F,140168
F,121642
F,136507
F,113366
F,165099
F,183393
F,156349
F,147958
F,170909
F,110865
F,116128
F,132670
F,154242
F,93475
F,193382
F,236461
F,117175
F,167565
F,134887
F,46679
F,154567
F,209233
F,60048
F,105900
F,195513
F,170816
F,145724
F,182456
F,172738
F,24332
F,236930
F,239733
F,256932
F,180251
F,225572
F,146445
F,244707
F,248686
F,256075
F,249099
F,141067
F,132830
F,152427
F,177903
F,169488
F,184472
F,160345
F,128185
F,131797
F,147958
F,158828
F,231980
F,203234
F,164063
F,107478
F,88020
F,119505
F,75842
F,38075
F,158565
F,164936
F,148810
G,66433
G,158121
G,121396
G,64468
G,190900
G,117402
G,151438
G,135656
G,136767
G,91062
G,223529
G,132337
G,74978
G,138479
G,137453
G,216708
G,61178
G,56561
G,187562
G,55500
G,181554
G,46255
G,103821
G,133829
G,142083
G,130740
G,98697
G,165967
G,165009
G,165029
G,168700
G,164343
G,92753
H,31748
H,103320
H,207787
H,84787
H,78154
H,67671
H,101029
H,121175
H,78434
H,48600
H,66179
H,130430
H,61484
H,146148
H,155751
H,71547
H,162602
H,122056
H,147709
H,135890
H,146778
H,169864
H,200242
H,119351
H,164597
H,117419
H,156740
H,90785
H,45620
H,151100
H,152472
H,123924
H,149701
H,134617
H,110844
H,165975
H,179720
H,148968
H,119265
I,218753
I,195057
I,198099
I,262014
I,202011
I,229158
I,190931
I,565179
I,78488
I,562776
I,178728
I,149269
I,181077
I,247154
I,275365
I,203402
I,222504
I,99443
I,193439
I,185829
I,209932
I,107243
I,241658
I,153750
I,131572
I,214652
I,202816
I,215086
I,316667
I,221037
I,228299
I,218178
I,261757
I,229271
I,287271
J,184660
J,106576
J,120168
J,214093
J,194656
J,33922
J,186928
J,201991
J,195041
J,275534
J,257478
J,255749
J,278284
J,265999
J,248104
J,318214
J,172977
J,179487
J,256018
J,215909
J,343232
J,191092
J,336494
J,242395
J,270148
K,173137
K,66159
K,204748
K,151528
K,59363
K,234192
K,70356
K,223498
K,187781
K,154525
K,55226
K,121054
L,194434
L,229748
L,145960
L,132959
L,50084
L,72099
L,135328
L,160371
L,167364
L,143855
L,114420
L,32435
L,83333
L,142712
L,131559
L,259048
L,43533
L,89526
L,140937
L,105018
L,110289
L,75040
L,226790
L,147512
L,86789
L,42963
L,130959
L,124051
L,80456
L,157092
L,90827
L,112255
L,102819
L,149185
L,118595
L,158730
L,51967
L,153651
L,99647
L,185301
L,56899
L,164677
L,94988
