Name,Price per square meter
Guishan,5330
Luzhu,5824
Daxi,7009
Pingzhen,7458
Pingzhen,7618
Yangmei,8369
Bade,9356
Daxi,10210
Daxi,10909
Xinwu,12149
Luzhu,12169
Guanyin ,12411
Guishan,12974
Zhongli,13368
Longtan,14406
Longtan,14681
Yangmei,15106
Daxi,15485
Guanyin ,15568
Bade,15838
Xinwu,15859
Longtan,16068
Yangmei,16552
Daxi,16903
Guanyin ,17107
Daxi,17443
Guanyin ,17575
Yangmei,17654
Yangmei,17721
Yangmei,17930
Pingzhen,18322
Yangmei,18414
Guishan,18633
Bade,18783
Taoyuan,18802
Guishan,18878
Longtan,18969
Yangmei,19118
Guishan,19354
Longtan,19595
Longtan,19597
Longtan,19597
Yangmei,19692
Zhongli,19784
Zhongli,20153
Guishan,20212
Pingzhen,20387
Daxi,20438
Guishan,20758
Longtan,20833
Yangmei,21040
Zhongli,21170
Yangmei,21366
Guishan,21419
Daxi,21476
Zhongli,21497
Bade,21505
Yangmei,21755
Daxi,21795
Yangmei,21842
Longtan,22046
Guanyin ,22360
Zhongli,22611
Yangmei,22658
Taoyuan,22674
Taoyuan,23128
Yangmei,23146
Yangmei,23167
Longtan,23186
Zhongli,23226
Longtan,23368
Pingzhen,23617
Guanyin ,23636
Pingzhen,23883
Zhongli,24177
Guanyin ,24259
Guishan,24316
Yangmei,24351
Longtan,24799
Guanyin ,24821
Yangmei,24930
Bade,25027
Pingzhen,25137
Bade,25180
Yangmei,25265
Pingzhen,25286
Zhongli,25287
Zhongli,25412
Longtan,25667
Yangmei,25971
Bade,26130
Guanyin ,26186
Yangmei,27199
Yangmei,27248
Longtan,27282
Luzhu,27522
Yangmei,27576
Yangmei,27685
Taoyuan,27709
Pingzhen,27747
Yangmei,27918
Yangmei,28138
Zhongli,28321
Daxi,28555
Guanyin ,28619
Yangmei,28767
Daxi,28872
Dayuan,28872
Longtan,29050
Bade,29155
Yangmei,29320
Yangmei,29386
Guishan,29412
Longtan,29483
Yangmei,29496
Pingzhen,29589
Pingzhen,29971
Bade,29988
Longtan,29990
Yangmei,30032
Longtan,30149
Yangmei,30169
Yangmei,30188
Yangmei,30233
Pingzhen,30258
Bade,30431
Yangmei,30453
Zhongli,30469
Zhongli,30561
Yangmei,30711
Zhongli,30759
Yangmei,30769
Zhongli,30888
Taoyuan,30963
Longtan,31055
Dayuan,31114
Guishan,31392
Xinwu,31447
Yangmei,31457
Pingzhen,31507
Bade,31753
Guanyin ,31807
Xinwu,31983
Pingzhen,32047
Longtan,32094
Daxi,32270
Daxi,32300
Longtan,32389
Bade,32410
Longtan,32697
Guishan,32731
Bade,32762
Xinwu,32827
Yangmei,33023
Longtan,33257
Zhongli,33333
Longtan,33354
Luzhu,33437
Guishan,33632
Longtan,33844
Guishan,33974
Guanyin ,34068
Guishan,34114
Guanyin ,34134
Zhongli,34180
Pingzhen,34241
Zhongli,34294
Zhongli,34361
Yangmei,34373
Guanyin ,34467
Zhongli,34524
Taoyuan,34551
Zhongli,34703
Daxi,34764
Zhongli,34770
Zhongli,34810
Bade,34810
Bade,34813
Taoyuan,34906
Yangmei,34925
Zhongli,34955
Bade,35030
Taoyuan,35158
Taoyuan,35230
Taoyuan,35235
Yangmei,35290
Zhongli,35291
Longtan,35298
Taoyuan,35393
Longtan,35401
Xinwu,35480
Bade,35714
Pingzhen,35853
Guishan,36106
Bade,36211
Longtan,36223
Yangmei,36287
Bade,36316
Daxi,36320
Guanyin ,36539
Taoyuan,36611
Longtan,36684
Luzhu,36723
Longtan,36759
Longtan,36767
Guishan,36785
Guishan,37026
Longtan,37037
Bade,37055
Bade,37084
Zhongli,37134
Pingzhen,37178
Pingzhen,37394
Yangmei,37406
Longtan,37419
Bade,37437
Pingzhen,37461
Bade,37476
Zhongli,37605
Zhongli,37675
Bade,37692
Bade,37692
Yangmei,37865
Pingzhen,37903
Longtan,37939
Guishan,37998
Zhongli,38095
Guanyin ,38282
Yangmei,38352
Longtan,38416
Zhongli,38519
Zhongli,38542
Zhongli,38563
Longtan,38935
Zhongli,39003
Pingzhen,39024
Pingzhen,39115
Taoyuan,39130
Pingzhen,39133
Pingzhen,39226
Bade,39374
Bade,39506
Longtan,39526
Zhongli,39534
Zhongli,39543
Zhongli,39616
Guishan,39744
Taoyuan,40022
Bade,40060
Longtan,40128
Zhongli,40173
Dayuan,40269
Luzhu,40406
Yangmei,40419
Longtan,40423
Zhongli,40516
Taoyuan,40580
Pingzhen,40681
Zhongli,40737
Pingzhen,40898
Longtan,41030
Pingzhen,41059
Longtan,41095
Yangmei,41205
Zhongli,41251
Zhongli,41343
Zhongli,41440
Zhongli,41440
Pingzhen,41446
Guishan,41462
Guishan,41492
Daxi,41496
Zhongli,41506
Yangmei,41507
Zhongli,41572
Pingzhen,41579
Zhongli,41635
Zhongli,41675
Taoyuan,41676
Pingzhen,41761
Zhongli,41764
Taoyuan,41801
Guishan,41877
Daxi,41907
Zhongli,42002
Bade,42157
Pingzhen,42208
Yangmei,42254
Bade,42284
Pingzhen,42323
Zhongli,42329
Pingzhen,42418
Zhongli,42445
Zhongli,42508
Dayuan,42577
Pingzhen,42597
Zhongli,42636
Yangmei,42654
Bade,42719
Zhongli,42747
Bade,42787
Zhongli,42873
Longtan,42875
Pingzhen,42897
Zhongli,42903
Zhongli,42903
Zhongli,42903
Zhongli,42903
Zhongli,42903
Zhongli,42921
Daxi,42971
Zhongli,43013
Zhongli,43086
Zhongli,43103
Pingzhen,43128
Pingzhen,43173
Daxi,43312
Pingzhen,43377
Zhongli,43478
Dayuan,43489
Bade,43496
Longtan,43592
Longtan,43617
Pingzhen,43768
Bade,43802
Yangmei,43948
Longtan,44026
Bade,44046
Pingzhen,44094
Pingzhen,44324
Bade,44343
Bade,44396
Zhongli,44444
Bade,44450
Zhongli,44507
Yangmei,44547
Taoyuan,44585
Pingzhen,44623
Zhongli,44646
Pingzhen,44673
Zhongli,44878
Zhongli,44888
Taoyuan,44967
Zhongli,45029
Longtan,45108
Longtan,45185
Taoyuan,45215
Luzhu,45220
Yangmei,45520
Longtan,45624
Taoyuan,45625
Bade,45707
Luzhu,45803
Zhongli,45911
Bade,46002
Taoyuan,46015
Pingzhen,46037
Taoyuan,46083
Taoyuan,46092
Taoyuan,46243
Taoyuan,46269
Taoyuan,46314
Zhongli,46325
Taoyuan,46357
Yangmei,46470
Pingzhen,46489
Taoyuan,46508
Longtan,46509
Zhongli,46545
Taoyuan,46562
Pingzhen,46564
Pingzhen,46578
