locationName,startTime,endTime,Max Temp.,Min Temp.
Taipei,2016-06-06T12:00:00+08:00,2016-06-06T18:00:00+08:00,30,27
Taipei,2016-06-06T18:00:00+08:00,2016-06-07T06:00:00+08:00,27,25
Taipei,2016-06-07T06:00:00+08:00,2016-06-07T18:00:00+08:00,31,25
Taipei,2016-06-07T18:00:00+08:00,2016-06-08T06:00:00+08:00,29,25
Taipei,2016-06-08T06:00:00+08:00,2016-06-08T18:00:00+08:00,31,25
Taipei,2016-06-08T18:00:00+08:00,2016-06-09T06:00:00+08:00,28,25
Taipei,2016-06-09T06:00:00+08:00,2016-06-09T18:00:00+08:00,31,25
Taipei,2016-06-09T18:00:00+08:00,2016-06-10T06:00:00+08:00,28,25
Taipei,2016-06-10T06:00:00+08:00,2016-06-10T18:00:00+08:00,31,25
Taipei,2016-06-10T18:00:00+08:00,2016-06-11T06:00:00+08:00,28,25
Taipei,2016-06-11T06:00:00+08:00,2016-06-11T18:00:00+08:00,31,25
Taipei,2016-06-11T18:00:00+08:00,2016-06-12T06:00:00+08:00,28,25
Taipei,2016-06-12T06:00:00+08:00,2016-06-12T18:00:00+08:00,31,25
Taipei,2016-06-12T18:00:00+08:00,2016-06-13T06:00:00+08:00,29,25
New Taipei,2016-06-06T12:00:00+08:00,2016-06-06T18:00:00+08:00,30,28
New Taipei,2016-06-06T18:00:00+08:00,2016-06-07T06:00:00+08:00,28,26
New Taipei,2016-06-07T06:00:00+08:00,2016-06-07T18:00:00+08:00,32,26
New Taipei,2016-06-07T18:00:00+08:00,2016-06-08T06:00:00+08:00,30,26
New Taipei,2016-06-08T06:00:00+08:00,2016-06-08T18:00:00+08:00,31,26
New Taipei,2016-06-08T18:00:00+08:00,2016-06-09T06:00:00+08:00,29,26
New Taipei,2016-06-09T06:00:00+08:00,2016-06-09T18:00:00+08:00,31,26
New Taipei,2016-06-09T18:00:00+08:00,2016-06-10T06:00:00+08:00,29,26
New Taipei,2016-06-10T06:00:00+08:00,2016-06-10T18:00:00+08:00,31,26
New Taipei,2016-06-10T18:00:00+08:00,2016-06-11T06:00:00+08:00,29,26
New Taipei,2016-06-11T06:00:00+08:00,2016-06-11T18:00:00+08:00,31,26
New Taipei,2016-06-11T18:00:00+08:00,2016-06-12T06:00:00+08:00,29,26
New Taipei,2016-06-12T06:00:00+08:00,2016-06-12T18:00:00+08:00,31,26
New Taipei,2016-06-12T18:00:00+08:00,2016-06-13T06:00:00+08:00,29,26
Taoyuan,2016-06-06T12:00:00+08:00,2016-06-06T18:00:00+08:00,29,27
Taoyuan,2016-06-06T18:00:00+08:00,2016-06-07T06:00:00+08:00,27,26
Taoyuan,2016-06-07T06:00:00+08:00,2016-06-07T18:00:00+08:00,31,26
Taoyuan,2016-06-07T18:00:00+08:00,2016-06-08T06:00:00+08:00,29,26
Taoyuan,2016-06-08T06:00:00+08:00,2016-06-08T18:00:00+08:00,31,26
Taoyuan,2016-06-08T18:00:00+08:00,2016-06-09T06:00:00+08:00,29,26
Taoyuan,2016-06-09T06:00:00+08:00,2016-06-09T18:00:00+08:00,31,26
Taoyuan,2016-06-09T18:00:00+08:00,2016-06-10T06:00:00+08:00,29,26
