"日期","測站","測項","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
2008-01-01,"平鎮","AMB_TEMP","10.29","10.41","10.4","10.37","10.32","10.22","9.99","9.94","10.39","11","11.47","11.83","11.37","11.19","11.1","10.84","10.4","9.84","9.48","9.57","9.66","9.62","9.41","9.42"
2008-01-01,"平鎮","CO","0.48","0.46","0.32","0.31","0.29","0.28","0.3","0.34","0.38","0.4","0.38","0.39","0.4","0.43","0.45","0.45","0.46","0.53","0.52","0.56","0.53","0.53","0.47","0.41"
2008-01-01,"平鎮","NO","1.15","0.62","0.35","0.38","0.48","0.5","0.56","0.93","2","2.72","3.12","4.21","2.95","2.66","2.65","2.49","2.18","1.57","1.64","1.58","1.42","1.23","1.24","0.95"
2008-01-01,"平鎮","NO2","22.4","18.95","10.97","11.07","10.39","9.13","10.55","11.08","12.93","12.36","12.51","14.7","13.51","14.52","15.78","18.23","19.86","24.63","25.83","26.92","24.56","24.06","25.05","20.47"
2008-01-01,"平鎮","NOx","23.55","19.57","11.32","11.45","10.87","9.63","11.11","12.01","14.93","15.08","15.62","18.91","16.46","17.17","18.42","20.72","22.04","26.19","27.47","28.5","25.98","25.29","26.29","21.42"
2008-01-01,"平鎮","O3","18.4","21.5","30.4","29.6","29.9","30.6","29.4","28.6","27.5","30.5","30.8","30.2","31.7","31.8","31.6","30.9","29.7","24.1","21.7","20.9","21.6","21.5","18.6","21.7"
2008-01-01,"平鎮","PM10","86","82","68","67","66","54","52","53","62","75","72","62","70","80","86","100","92","88","96","81","73","64","65","75"
2008-01-01,"平鎮","PM2.5","38","43","31","32","29","22","21","11","9","23","25","30","38","43","32","29","33","38","49","37","26","23","32","34"
2008-01-01,"平鎮","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-01,"平鎮","RH","53.71","54.54","50.48","51.69","51.97","52.38","50.83","50.24","48.9","46.27","48.34","47.71","51.18","52.24","52.96","52.46","52.85","54.31","54.64","53.33","52.47","53.28","55.75","55.49"
2008-01-01,"平鎮","SHELT_TEMP","26.73","26.72","26.72","26.76","26.91","26.66","26.58","26.58","26.65","26.72","26.88","27.03","26.95","26.94","26.93","26.91","26.97","26.71","26.54","26.55","26.46","26.52","26.61","26.71"
2008-01-01,"平鎮","SO2","10.6","13.1","12.4","6.5","6.5","8.6","12.9","10.3","7.1","6.8","7.5","7.4","7.5","8.4","9.2","9.6","9.6","12","12.8","7.4","7.6","9.1","11.5","11.7"
2008-01-01,"平鎮","WD_HR","55.16","51.84","54.75","57.46","59.23","53.77","50.51","55.17","61.08","65.75","51.59","48.5","47.06","47.45","50.06","47.44","47.17","47.3","50.46","61.81","60.56","75.45","80.61","71.19"
2008-01-01,"平鎮","WIND_DIREC","51.61","49.57","57.9","57.79","59.76","53.23","51.68","59.21","60.15","81.93","53.56","49.58","42.94","46.91","50.81","44.24","46.82","45.78","52.07","65.68","64.99","87.02","78.25","74.28"
2008-01-01,"平鎮","WIND_SPEED","2.88","4.17","3.33","3.2","3.84","4.11","4.68","3.39","4.03","3.95","4.25","4.88","5.41","4.77","5.36","6.05","4.79","3.92","3.75","2.23","3.01","3.57","3.47","3.07"
