"日期","測站","測項","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
2008-01-01,"桃園","AMB_TEMP","10.42","10.98","10.91","10.84","10.88","10.95","10.69","10.54","11.21","11.93","12.26","12.62","12.55","12.26","12.01","11.85","11.41","10.46","9.88","9.85","10.06","9.97","10.16","10.29"
2008-01-01,"桃園","CH4","2.03","1.936","1.938","1.941","1.932","1.91","1.913","1.926","1.921","1.911","1.907","1.913","1.919","1.922","1.942","1.938","1.947","1.956","1.933","1.941","1.943","1.966","1.981","1.95"
2008-01-01,"桃園","CO","0.63","0.63","0.46","0.45","0.35","0.32","0.34","0.41","0.42","0.42","0.42","0.45","0.49","0.5","0.55","0.54","0.55","0.59","0.51","0.52","0.49","0.5","0.55","0.45"
2008-01-01,"桃園","NMHC","0.216","0.157","0.105","0.093","0.074","0.066","0.072","0.108","0.108","0.1","0.091","0.103","0.097","0.085","0.108","0.109","0.116","0.148","0.133","0.137","0.12","0.127","0.148","0.107"
2008-01-01,"桃園","NO","3.56","3.98","2.87","2.14","1.83","1.91","1.82","3.23","4.21","4.67","5.64","4.08","5.71","5.05","5.22","4.09","4.16","4.57","2.78","2.84","2.7","2.47","2.26","1.5"
2008-01-01,"桃園","NO2","26.87","25.17","23.64","21.94","17.8","12.1","9.29","14.25","12.29","10.81","13.09","11.45","14.85","15.09","18.79","16.17","18.66","22.9","19.05","21.24","17.44","18.72","21.71","17.27"
2008-01-01,"桃園","NOx","30.43","29.15","26.51","24.07","19.63","14.01","11.11","17.48","16.5","15.47","18.73","15.54","20.56","20.14","24.01","20.26","22.82","27.47","21.83","24.08","20.14","21.19","23.96","18.76"
2008-01-01,"桃園","O3","11.4","12.4","15.2","14.5","17.8","23.1","27","20.5","22.2","26","24.3","27.4","24.5","24.6","22.6","26.1","23.8","21.5","21.8","19.7","23.2","21.3","17.5","19.5"
2008-01-01,"桃園","PM10","100","107","101","79","66","59","62","60","63","60","67","67","71","75","81","89","92","90","77","73","69","71","64","54"
2008-01-01,"桃園","PM2.5","52","74","71","56","39","32","19","12","8","14","19","28","31","38","40","44","46","42","33","31","34","35","34","33"
2008-01-01,"桃園","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-01,"桃園","RH","57.98","57.67","55.41","54.99","55.72","54.34","51.59","51.88","48.52","46.52","47.3","47.52","50.19","51.37","53.19","53","53.51","54.85","54.28","55.48","52.91","54.74","55.24","55.97"
2008-01-01,"桃園","SHELT_TEMP","27.1","27.15","27.2","27.2","27.22","27.22","27.68","27.19","27.15","27.18","27.25","27.17","27.21","27.28","27.28","27.28","27.57","27.43","27.18","27.1","27.12","27.11","27.11","27.16"
2008-01-01,"桃園","SO2","9.3","9.5","13.2","12.4","11.9","9.3","7.7","9.7","7.9","7.4","8.8","8.3","8.8","9.5","11.1","10.8","11.3","10.5","8.3","7.8","7.6","8.2","9.8","9.2"
2008-01-01,"桃園","THC","2.246","2.093","2.043","2.034","2.006","1.975","1.985","2.034","2.029","2.012","1.998","2.016","2.016","2.007","2.05","2.047","2.064","2.103","2.067","2.078","2.063","2.093","2.129","2.057"
2008-01-01,"桃園","UVB","0","0","0","0","0","0","0","0.3","1.1","2.6","3.1","3.5","2","1.6","0.9","0.6","0.2","0","0","0","0","0","0","0"
2008-01-01,"桃園","WD_HR","69.41","62.12","66.81","68.13","71.24","62.88","80.39","71.56","83.95","83.4","81.85","90.73","75.64","87.35","77.72","77.77","77.76","72.43","72.19","70.53","71.23","69.33","88.95","95.28"
2008-01-01,"桃園","WIND_DIREC","57.8","61.52","55.96","55.44","73.05","77.98","86.22","72.05","82","83.59","91.92","88.21","61.41","91.19","79.86","83.57","82.83","80.22","68.64","75.32","73.92","65.14","101.54","93.1"
2008-01-01,"桃園","WIND_SPEED","0.88","0.94","1.04","0.81","1.26","1.42","1.59","1.86","2.72","3.22","3.02","3.09","1.59","1.52","1.85","1.31","2.34","1.7","1.74","2.48","1.56","2.12","1.79","2.21"
2008-01-01,"桃園","WS_HR","0.45","0.5","0.77","0.54","0.75","0.61","0.75","0.84","2.32","2.43","2.13","2.92","1.41","1.19","0.8","0.75","1.47","1.53","1.31","1.46","1.52","1.71","1.77","2.05"
2008-01-02,"桃園","AMB_TEMP","10.08","10.15","10.15","10.2","9.67","9.35","9.17","9.56","10.87","12.15","13.32","13.99","13.84","13.8","13.6","12.97","12.24","11.72","11.51","11.5","11.58","11.73","12.01","12.02"
2008-01-02,"桃園","CH4","2.042","2.024","2.009","1.971","1.978","1.99","2.043","2.012","1.983","1.932","1.909","1.896","1.898","1.904","1.907","1.915","1.922","1.931","1.938","1.934","1.946","1.945","1.948","1.945"
2008-01-02,"桃園","CO","0.48","0.47","0.45","0.45","0.47","0.48","0.63","1.03","0.96","0.64","0.5","0.46","0.44","0.46","0.47","0.5","0.51","0.67","0.7","0.57","0.57","0.55","0.56","0.39"
2008-01-02,"桃園","NMHC","0.122","0.09","0.081","0.064","0.069","0.094","0.183","0.357","0.322","0.2","0.132","0.116","0.106","0.113","0.131","0.17","0.189","0.271","0.28","0.225","0.212","0.197","0.212","0.136"
2008-01-02,"桃園","NO","1.5","1.5","1.21","0.84","1.65","1.85","4.96","23.31","20.29","10.41","6.74","5.99","4.89","4.9","5.33","5.81","6.38","7.43","6.74","3.47","3.51","3.06","3.09","1.56"
2008-01-02,"桃園","NO2","18.58","14.64","12.3","10.39","11.56","12.07","23.64","32.87","30.6","21.64","15.47","13.73","13.04","14.3","16.02","18.44","22.32","27.88","31.75","24.88","24.28","22.8","22.85","17.03"
2008-01-02,"桃園","NOx","20.07","16.14","13.51","11.22","13.22","13.92","28.6","56.19","50.89","32.05","22.22","19.71","17.93","19.2","21.35","24.25","28.71","35.31","38.48","28.35","27.79","25.86","25.94","18.59"
2008-01-02,"桃園","O3","17.5","19.3","21.3","23.1","25","23","13.4","5.6","8.3","16.8","22","26.6","30","28.9","27.5","22.5","17.4","14.3","10.8","14.8","14.5","16.4","16.2","22"
2008-01-02,"桃園","PM10","61","67","87","84","89","81","81","86","94","100","96","96","98","93","87","90","94","104","88","76","61","55","55","46"
2008-01-02,"桃園","PM2.5","36","39","39","41","35","41","37","40","33","42","27","27","31","29","40","38","33","38","40","44","44","47","39","29"
2008-01-02,"桃園","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-02,"桃園","RH","57.25","54.81","54.83","53.88","53.54","54.9","56.51","56.31","53.36","51.1","48.63","45.95","47.18","49.4","51.17","55.14","56.44","57.01","58.66","61.53","63.86","62.75","60.45","58.66"
2008-01-02,"桃園","SHELT_TEMP","27.18","27.23","27.23","27.59","27.28","27.1","27.12","27.13","27.11","27.19","27.37","27.45","27.56","27.57","27.77","27.43","27.32","27.19","27.13","27.1","27.14","27.2","27.21","27.25"
2008-01-02,"桃園","SO2","13.4","15.5","17.7","17","13.8","11.7","14.9","15.2","13.3","12","9.9","8","7.3","7.4","7.2","7.3","7.1","6.9","7.9","8","6.5","6.2","5.1","4.5"
2008-01-02,"桃園","THC","2.164","2.114","2.09","2.035","2.047","2.084","2.226","2.369","2.305","2.132","2.041","2.012","2.004","2.017","2.038","2.084","2.112","2.202","2.218","2.16","2.159","2.142","2.16","2.081"
2008-01-02,"桃園","UVB","0","0","0","0","0","0","0","0.3","1.2","2.6","4.1","5.2","5.1","4.1","2.5","1.1","0.3","0","0","0","0","0","0","0"
2008-01-02,"桃園","WD_HR","81.04","79.26","84.41","80.41","75.87","73.22","74.07","74.55","84.29","90.5","89.46","90.61","84.98","87.83","87.38","85.77","83.36","81.99","80.91","84.84","83.1","82.91","86.69","86.96"
2008-01-02,"桃園","WIND_DIREC","78.3","82.04","89.2","72.58","74.84","73.42","74.11","81.2","88.09","93.48","83.02","85.36","88.93","83.16","83.73","84.99","74.39","81.57","85.63","78.77","87.42","80.33","87.24","88.65"
2008-01-02,"桃園","WIND_SPEED","1.9","2.06","2.54","2.24","2.04","1.61","1.57","2.46","3.89","3.14","3.62","2.98","4.31","2.95","3.62","2.92","3.2","2.67","4.27","3.71","2.73","2.54","3.2","2.56"
2008-01-02,"桃園","WS_HR","1.55","1.82","2.01","2.15","1.64","1.51","1.45","1.56","2.55","3.66","3.56","2.54","3.3","2.85","3.23","2.82","3.05","2.75","2.84","3.56","2.75","2.7","2.61","2.29"
