date,A1 (%),A2 (%),A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22 (%),A23 (%)
2017/3/10 01:00,"55,2","16,98","3019,53",557434,395713,100664,"1,74",249214,253235,250576,295096,"306,4",250225,250884,457396,432962,424954,443558,502255,"446,37",523344,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3024,41",563965,397383,100672,"1,74",249719,250532,250862,295096,"306,4",250137,248994,451891,"429,56",432939,448086,496363,445922,498075,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3043,46",568054,399668,10068,"1,74",249741,247874,250313,295096,"306,4",251345,248071,"451,24",468927,"434,61",449688,484411,447826,458567,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3047,36",568665,397939,100689,"1,74",249917,254487,250049,295096,"306,4",250422,251147,452441,458165,442865,"446,21",471411,"437,69",427669,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3033,69",558167,400254,100697,"1,74",250203,252136,249895,295096,"306,4",249983,248928,452441,"452,9",450523,"453,67",462598,443682,425679,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3079,1",564697,396533,100705,"1,74","250,73",248906,249521,295096,"306,4",250356,251873,444384,443269,460449,"439,92",451588,433539,425458,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3127,79",566467,"392,9",100713,"1,74",250313,252202,249082,295096,"306,4","250,95",253477,446185,444571,452306,431328,443548,444575,431251,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3152,93",558777,397002,100722,"1,74",249895,"253,63",249258,295096,"306,4",249456,253345,445985,461341,"461,64",442067,"441,73","461,77",449679,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3147,27","556,03",394307,10073,"1,74",250137,251104,248774,295096,"306,4",248577,250884,446686,478385,459103,455074,439798,457738,455915,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3142,58",565857,393105,100738,"1,74",249653,252202,248203,295096,"306,4",248511,248137,445685,478779,460665,457225,453236,449898,"455,75","66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3148,05",561951,396533,100746,"1,74",249236,250818,250225,295096,"306,4",250203,246797,456495,"438,06",466332,458005,455493,"448,05",452663,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3150,39",558472,397852,100755,"1,74","249,17",249829,251147,295096,"306,4",250928,246533,"461,45","421,41","467,79","458,59","453,84","448,05","451,34","66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3280,27",564026,393545,100763,"1,74",249016,249829,251147,295096,"306,4",249543,251147,457947,425372,453818,453942,459629,443738,460608,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3411,13",567261,"394,16",100771,"1,74",249258,250137,251609,295096,"306,4",248643,249587,448037,"428,26",447074,458516,472134,"461,49",467667,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3447,46",561646,392549,100779,"1,74","249,39",251191,250269,295096,"306,4",249434,250225,433923,418459,431266,465705,481442,479298,471307,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3562,7",560364,394688,100788,"1,74",250005,252202,249456,295096,"306,4",250598,"248,84",434674,"416,42",435956,459922,"484,36","457,85",473847,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3707,03",563049,396504,100796,"1,74",250115,"249,39",249697,295096,"306,4",251082,250774,446736,398407,444212,"444,88",471964,439874,470261,"66,91","1,31"
